"","year","geo_county","pop","pop_w","pop_b","pop_h","pop_pl","pop_w_pl","pop_b_pl","pop_h_pl"
"1",2005,"anderson_county",56575,40672,12613,7906,7491,5427,1763,1670
"2",2006,"anderson_county",56575,40672,12613,7906,7491,5427,1763,1670
"3",2007,"anderson_county",56575,40672,12613,7906,7491,5427,1763,1670
"4",2008,"anderson_county",56575,40672,12613,7906,7491,5427,1763,1670
"5",2009,"anderson_county",56575,40672,12613,7906,7491,5427,1763,1670
"6",2010,"anderson_county",58016,42302,12507,8783,7497,4960,2051,1651
"7",2011,"anderson_county",58192,42895,12411,9048,9101,5755,2848,2569
"8",2012,"anderson_county",58269,43169,12451,9277,9105,6122,2582,2619
"9",2013,"anderson_county",58262,43560,12299,9500,9466,6046,3042,2580
"10",2014,"anderson_county",58084,43451,12295,9582,8288,5313,2555,2151
"11",2015,"anderson_county",57915,42959,12265,9749,8274,5385,2283,2309
"12",2016,"anderson_county",57772,42632,12287,9799,7561,4879,1928,2083
"13",2017,"anderson_county",57747,42316,12083,9981,6935,3983,2186,1401
"14",2018,"anderson_county",57863,42549,12141,10142,6565,3874,1916,1318
"15",2005,"andrews_county",13295,10133,98,6247,2415,1748,33,1629
"16",2006,"andrews_county",13295,10133,98,6247,2415,1748,33,1629
"17",2007,"andrews_county",13295,10133,98,6247,2415,1748,33,1629
"18",2008,"andrews_county",13295,10133,98,6247,2415,1748,33,1629
"19",2009,"andrews_county",13295,10133,98,6247,2415,1748,33,1629
"20",2010,"andrews_county",14048,11707,148,6633,2388,1894,63,1567
"21",2011,"andrews_county",14500,12500,207,7000,2444,1942,89,1516
"22",2012,"andrews_county",15006,13012,203,7432,2223,1555,98,1428
"23",2013,"andrews_county",15554,13885,242,7881,1926,1591,32,1191
"24",2014,"andrews_county",16126,14737,417,8359,1822,1351,64,1175
"25",2015,"andrews_county",16775,15490,329,8925,2032,1667,77,1381
"26",2016,"andrews_county",17215,15926,351,9360,1821,1461,131,1185
"27",2017,"andrews_county",17577,16134,367,9737,2082,1673,143,1433
"28",2018,"andrews_county",17818,16464,353,9979,1835,1522,190,1364
"29",2005,"angelina_county",82465,64243,12025,14747,14206,9735,3356,3747
"30",2006,"angelina_county",82465,64243,12025,14747,14206,9735,3356,3747
"31",2007,"angelina_county",82465,64243,12025,14747,14206,9735,3356,3747
"32",2008,"angelina_county",82465,64243,12025,14747,14206,9735,3356,3747
"33",2009,"angelina_county",82465,64243,12025,14747,14206,9735,3356,3747
"34",2010,"angelina_county",85254,65373,12996,16012,14593,9828,3646,4047
"35",2011,"angelina_county",86033,66773,13153,16627,15298,10519,3526,4795
"36",2012,"angelina_county",86550,68280,13496,17128,15815,11119,3690,4927
"37",2013,"angelina_county",87042,67828,13300,17537,16287,10895,3549,5974
"38",2014,"angelina_county",87433,68512,13408,17964,16909,11177,4148,5590
"39",2015,"angelina_county",87748,68827,13246,18353,16497,10847,4199,5705
"40",2016,"angelina_county",87657,67999,12883,18505,16688,10820,3927,5419
"41",2017,"angelina_county",87700,68468,13013,18871,16222,10801,3876,4754
"42",2018,"angelina_county",87607,69372,12962,19174,15533,11069,3756,4468
"43",2005,"aransas_county",24499,21530,287,5546,4127,3368,57,2017
"44",2006,"aransas_county",24499,21530,287,5546,4127,3368,57,2017
"45",2007,"aransas_county",24499,21530,287,5546,4127,3368,57,2017
"46",2008,"aransas_county",24499,21530,287,5546,4127,3368,57,2017
"47",2009,"aransas_county",24499,21530,287,5546,4127,3368,57,2017
"48",2010,"aransas_county",23247,21134,267,5618,3990,3327,57,1980
"49",2011,"aransas_county",23243,21398,234,5696,4020,3586,62,1866
"50",2012,"aransas_county",23391,21591,207,5850,4106,3808,16,1938
"51",2013,"aransas_county",23627,21571,345,5955,4513,4116,28,2021
"52",2014,"aransas_county",23889,21335,345,6133,4924,4486,25,2078
"53",2015,"aransas_county",24292,21538,409,6343,4509,4093,131,1727
"54",2016,"aransas_county",24729,21823,413,6496,4124,3706,122,1548
"55",2017,"aransas_county",24832,21800,407,6714,4344,3860,133,1408
"56",2018,"aransas_county",24763,22104,381,6756,4951,4159,299,2002
"57",2005,"archer_county",8936,8625,18,666,757,707,0,124
"58",2006,"archer_county",8936,8625,18,666,757,707,0,124
"59",2007,"archer_county",8936,8625,18,666,757,707,0,124
"60",2008,"archer_county",8936,8625,18,666,757,707,0,124
"61",2009,"archer_county",8936,8625,18,666,757,707,0,124
"62",2010,"archer_county",9055,8742,63,621,887,823,0,95
"63",2011,"archer_county",9013,8670,73,645,1168,1015,37,100
"64",2012,"archer_county",8944,8596,58,692,1024,920,12,115
"65",2013,"archer_county",8853,8483,78,706,988,877,25,138
"66",2014,"archer_county",8853,8406,80,704,953,835,31,101
"67",2015,"archer_county",8779,8260,91,708,862,701,37,134
"68",2016,"archer_county",8750,8260,104,722,704,609,23,157
"69",2017,"archer_county",8793,8313,106,731,769,681,31,165
"70",2018,"archer_county",8789,8334,81,727,806,736,2,112
"71",2005,"armstrong_county",2014,1807,30,228,206,108,0,98
"72",2006,"armstrong_county",2014,1807,30,228,206,108,0,98
"73",2007,"armstrong_county",2014,1807,30,228,206,108,0,98
"74",2008,"armstrong_county",2014,1807,30,228,206,108,0,98
"75",2009,"armstrong_county",2014,1807,30,228,206,108,0,98
"76",2010,"armstrong_county",1958,1902,17,180,196,192,0,105
"77",2011,"armstrong_county",1929,1853,11,180,204,203,0,80
"78",2012,"armstrong_county",1820,1717,19,185,244,242,0,94
"79",2013,"armstrong_county",1773,1631,33,212,188,186,0,63
"80",2014,"armstrong_county",1947,1801,43,229,194,194,0,66
"81",2015,"armstrong_county",1943,1751,23,230,130,130,0,0
"82",2016,"armstrong_county",1913,1771,26,243,177,177,0,0
"83",2017,"armstrong_county",1929,1821,39,192,140,140,0,0
"84",2018,"armstrong_county",1916,1830,7,131,135,135,0,0
"85",2005,"atascosa_county",43524,35186,347,26350,8376,5918,168,6206
"86",2006,"atascosa_county",43524,35186,347,26350,8376,5918,168,6206
"87",2007,"atascosa_county",43524,35186,347,26350,8376,5918,168,6206
"88",2008,"atascosa_county",43524,35186,347,26350,8376,5918,168,6206
"89",2009,"atascosa_county",43524,35186,347,26350,8376,5918,168,6206
"90",2010,"atascosa_county",44049,33738,370,26893,8157,4943,177,6175
"91",2011,"atascosa_county",44553,35393,261,27379,7827,5327,68,6112
"92",2012,"atascosa_county",45091,36395,290,27942,7704,5444,36,6156
"93",2013,"atascosa_county",45714,37528,321,28454,7419,5274,46,5999
"94",2014,"atascosa_county",46343,39198,330,28946,7162,5406,46,5884
"95",2015,"atascosa_county",47050,43154,369,29541,7619,7038,35,6161
"96",2016,"atascosa_county",47710,44209,351,30094,7208,6672,31,6001
"97",2017,"atascosa_county",48139,44416,353,30585,6961,6298,28,5652
"98",2018,"atascosa_county",48828,45293,124,31200,7271,6910,6,5808
"99",2005,"austin_county",26567,22582,2626,5579,2194,1489,549,524
"100",2006,"austin_county",26567,22582,2626,5579,2194,1489,549,524
"101",2007,"austin_county",26567,22582,2626,5579,2194,1489,549,524
"102",2008,"austin_county",26567,22582,2626,5579,2194,1489,549,524
"103",2009,"austin_county",26567,22582,2626,5579,2194,1489,549,524
"104",2010,"austin_county",27783,23639,2753,6076,2439,1403,782,688
"105",2011,"austin_county",28150,23768,2764,6401,2596,1429,730,800
"106",2012,"austin_county",28372,24187,2757,6680,2548,1364,652,787
"107",2013,"austin_county",28573,24315,2707,6947,2868,1690,658,1119
"108",2014,"austin_county",28724,24010,2590,7144,2907,1549,712,1117
"109",2015,"austin_county",28886,24483,2553,7327,3289,2293,600,1483
"110",2016,"austin_county",29107,24123,2519,7423,4163,2415,819,2090
"111",2017,"austin_county",29292,23622,2623,7598,3891,2222,698,2080
"112",2018,"austin_county",29565,23810,2626,7819,3159,1702,610,1546
"113",2005,"bailey_county",6360,5636,220,2881,1078,765,131,797
"114",2006,"bailey_county",6360,5636,220,2881,1078,765,131,797
"115",2007,"bailey_county",6360,5636,220,2881,1078,765,131,797
"116",2008,"bailey_county",6360,5636,220,2881,1078,765,131,797
"117",2009,"bailey_county",6360,5636,220,2881,1078,765,131,797
"118",2010,"bailey_county",7027,6039,418,3098,1211,806,284,799
"119",2011,"bailey_county",7079,6391,202,3212,1343,939,200,984
"120",2012,"bailey_county",7096,6417,129,3971,776,510,56,531
"121",2013,"bailey_county",7121,6246,115,4131,915,744,0,734
"122",2014,"bailey_county",7084,6201,119,4208,1455,1385,0,1078
"123",2015,"bailey_county",7126,6050,147,4280,1319,1237,7,875
"124",2016,"bailey_county",7131,6021,163,4401,1322,1236,6,916
